job_title,soft_skills,technical_skills
Certified IT Developer (Application),"['accredited', 'professional', 'full', 'regional', 'national', 'task']",['analysis']
Change Order Manager,"['administrative', 'clerical', 'full', 'responsible', 'managerial', 'equivalent']",['analysis']
Chief,"['legal', 'administrative', 'subsequent', 'responsible', 'full', 'significant']",[]
Chief Asset & Capital Management Officer (CACMO),"['degree', 'public', 'administrative', 'large', 'equivalent', 'full']",[]
"Chief Communications Officer, Office of the Commissioner","['equivalent', 'economic', 'urban', 'managerial', 'administrative', 'appropriate']",[]
Chief Detective Investigator,"['administrative', 'supervisory', 'criminal', 'equivalent', 'full', 'managerial']",[]
Chief Diversity Officer,"['eeo', 'administrative', 'public', 'supervisory', 'industrial', 'equal']",['analysis']
Chief Equity and Inclusion Officer (CEIO),"['legal', 'administrative', 'subsequent', 'responsible', 'full', 'significant']",[]
Chief Information Officer,"['degree', 'full', 'administrative', 'managerial', 'relevant', 'human']","['database', 'data', 'programming']"
Chief Information Security Officer,"['eighteen', 'full', 'responsible', 'managerial', 'administrative', 'equivalent']","['database', 'data']"
Chief Marine Engineer,"['chief', 'engineer', 'valid', 'english', 'engagement', 'environmental']",[]
Chief Operating Officer (NYC Public Housing Preservation Trust),"['tenant', 'acceptable', 'managerial', 'responsible', 'general', 'supervision']",[]
Chief Personnel Officer,"['professional', 'economic', 'public', 'fiscal', 'administrative', 'supervisory']",['analysis']
Chief Press & Communications Officer,"['english', 'environmental', 'epidemic', 'epidemiologic', 'epidemiological', 'equal']",[]
Chief of Bluebelt Planning and Design,"['full', 'professional', 'managerial', 'maximum', 'electrical', 'valid']",[]
Chief of Mandated Reporting and Special Projects,"['professional', 'economic', 'public', 'fiscal', 'administrative', 'supervisory']",['analysis']
Chief of Process Compliance,"['responsible', 'sanitary', 'municipal', 'administrative', 'scientific', 'equivalent']",[]
Chief of Resiliency Coordination and Inflow-Infiltration,"['administrative', 'managerial', 'supervisory', 'professional', 'valid', 'equivalent']",[]
Chief of Staff,"['professional', 'economic', 'public', 'fiscal', 'administrative', 'supervisory']",['analysis']
Chief of Staff (NYC Public Housing Preservation Trust),"['tenant', 'acceptable', 'managerial', 'responsible', 'general', 'supervision']",[]
"Chief of Staff, Mayor's Office of Community Mental Health","['degree', 'relevant', 'supervisory', 'public', 'baccalaureate', 'equivalent']",[]
Chief of Strategic Planning,"['mechanical', 'valid', 'administrative', 'environmental', 'civil', 'chemical']",[]
Chief of Training,"['administrative', 'managerial', 'equivalent', 'diploma', 'maximum', 'additional']",[]
"Chief, EHS Program Development and Education","['administrative', 'supervisory', 'clerical', 'managerial', 'full', 'moderate']",[]
"Chief, EHS Project & Field Compliance","['architectural', 'equivalent', 'additional', 'accredited', 'complex', 'high']",[]
"Child Care Registrar, Bureau of Childcare","['equivalent', 'high', 'related', 'english', 'environmental', 'epidemic']",[]
Child Protective Manager,"['social', 'administrative', 'child', 'educational', 'mental', 'general']",[]
Child Protective Specialist,"['child', 'protective', 'register', 'subject', 'minimum', 'social']",[]
Child Protective Specialist Supervisor,"['social', 'degree', 'early', 'anthropology', 'human', 'subject']",[]
Child Welfare Trainer,"['related', 'equivalent', 'high', 'degree', 'environmental', 'english']",[]
Childcare Inspector,"['public', 'medical', 'essential', 'biological', 'applied', 'physical']",[]
Children's Center Trainer,"['related', 'equivalent', 'high', 'degree', 'environmental', 'english']",[]
City Assessor/Hearing Officer,"['real', 'full', 'equivalent', 'educational', 'high', 'potential']","['analysis', 'data']"
"City Custodial Assistant, Bureau of Operations","['formal', 'medical', 'physical', 'educational', 'certain', 'enrolled']",[]
City Laborer,"['formal', 'valid', 'physical', 'certain', 'medical', 'eleven']",[]
City Medical Specialist (Part-Time),"['valid', 'degree', 'individual', 'related', 'american', 'mental']",[]
City Mortuary Technician,"['formal', 'enrolled', 'enhancement', 'english', 'environmental', 'epidemic']",[]
City Mortuary Technician (Per Diem),"['formal', 'enrolled', 'enhancement', 'english', 'environmental', 'epidemic']",[]
City Park Worker,"['valid', 'understand', 'physical', 'medical', 'formal', 'certain']",[]
"City Pest Control Aide, Bureau of Veterinary and Pest Control Services","['formal', 'enrolled', 'enhancement', 'english', 'environmental', 'epidemic']",[]
City Research Scientist,"['appropriate', 'environmental', 'physical', 'biological', 'full', 'probationary']",[]
"City Research Scientist I / Data Analyst, Bureau of Hepatitis, HIV, and STI","['appropriate', 'environmental', 'physical', 'biological', 'full', 'probationary']",[]
"City Research Scientist I / Prevention Program Project Officer, Bureau of Hepatitis, HIV, and STI","['appropriate', 'environmental', 'physical', 'biological', 'full', 'probationary']",[]
"City Research Scientist I / Worksite Wellness Specialist, Administration Office","['appropriate', 'environmental', 'physical', 'biological', 'full', 'probationary']",[]
"City Research Scientist II / NY Knows Project Officer, Bureau of Hepatitis, HIV, and STI","['appropriate', 'environmental', 'physical', 'biological', 'full', 'probationary']",[]
"City Research Scientist, Level II","['appropriate', 'environmental', 'physical', 'biological', 'full', 'probationary']",[]
City Seasonal Aide,"['certain', 'good', 'standard', 'formal', 'english', 'engagement']",[]
City Seasonal Aide/Security Guard,"['certain', 'good', 'standard', 'formal', 'english', 'engagement']",[]
City Tax Auditor,"['full', 'related', 'equivalent', 'eligible', 'individual', 'high']",[]
Civil Engineer 1,"['professional', 'civil', 'regional', 'national', 'current', 'additional']",[]
Civil Engineer 2,"['professional', 'civil', 'regional', 'national', 'current', 'additional']",[]
Civil Engineer 3,"['professional', 'civil', 'regional', 'national', 'current', 'additional']",[]
Civil Engineer I,"['professional', 'civil', 'regional', 'national', 'current', 'additional']",[]
Civil Engineer II,"['professional', 'civil', 'regional', 'national', 'current', 'additional']",[]
Civil Engineer Intern,"['civil', 'acceptable', 'enhancement', 'english', 'environmental', 'epidemic']",[]
Civil Engineer Level -3,"['professional', 'civil', 'regional', 'national', 'current', 'additional']",[]
Civil Engineering Intern,"['civil', 'acceptable', 'enhancement', 'english', 'environmental', 'epidemic']",[]
"Civil Engineering Intern, Infrastructure Planning, Design & Construction","['civil', 'acceptable', 'enhancement', 'english', 'environmental', 'epidemic']",[]
Claim Specialist,"['educational', 'high', 'personal', 'full', 'baccalaureate', 'associate']",[]
Claim Specialist Level 1 Litigation Support Division,"['educational', 'high', 'personal', 'full', 'baccalaureate', 'associate']",[]
"Claiming Analyst , Bureau of Budget and Revenue","['public', 'full', 'special', 'individual', 'additional', 'statistic']",['analysis']
Claims Analyst,"['appropriate', 'environmental', 'physical', 'biological', 'full', 'probationary']",[]
Claims Examiner,"['actuarial', 'full', 'statistic', 'equivalent', 'additional', 'degree']",[]
Claims Review Specialist,"['social', 'equivalent', 'representative', 'responsible', 'high', 'educational']",[]
Claims Review Worker,"['social', 'equivalent', 'representative', 'responsible', 'high', 'educational']",[]
"Claims Specialist - Level II, Premises Liability Claims Division","['educational', 'high', 'personal', 'full', 'baccalaureate', 'associate']",[]
Claims Specialist II- Correction Claims Division (2 positions),"['educational', 'high', 'personal', 'full', 'baccalaureate', 'associate']",[]
"Claims Specialist, Level II- Affirmative Claims","['educational', 'high', 'personal', 'full', 'baccalaureate', 'associate']",[]
"Claims Specialist, Level III- Premises Liability Claims","['educational', 'high', 'personal', 'full', 'baccalaureate', 'associate']",[]
Cleaning Staff : Operations,"['understand', 'understood', 'simple', 'english', 'formal', 'able']",[]
Clearance Administrator,"['full', 'equivalent', 'fitness', 'criminal', 'high', 'unlawful']",[]
"Clearance Administrator, Bureau  of Childcare","['full', 'equivalent', 'fitness', 'criminal', 'high', 'unlawful']",[]
"Clearance Administrator, Bureau of Childcare","['full', 'equivalent', 'fitness', 'criminal', 'high', 'unlawful']",[]
Clearance Supervisor,"['full', 'equivalent', 'accredited', 'criminal', 'personal', 'unethical']",[]
Clerical Associate,"['clerical', 'high', 'minimum', 'key', 'equivalent', 'educational']",[]
Clerical Associate (PT) -  Special Federal Litigation Division,"['clerical', 'high', 'minimum', 'key', 'equivalent', 'educational']",[]
Clerical Associate (Part-Time),"['clerical', 'high', 'minimum', 'key', 'equivalent', 'educational']",[]
Clerical Associate (Part-Time)- No Fault Claims Division (3 positions),"['clerical', 'high', 'minimum', 'key', 'equivalent', 'educational']",[]
Clerical Associate III,"['clerical', 'high', 'minimum', 'key', 'equivalent', 'educational']",[]
Clerical Associate Level 3,"['clerical', 'high', 'minimum', 'key', 'equivalent', 'educational']",[]
Clerical Associate Level 3 - Communications and Docketing Services,"['clerical', 'high', 'minimum', 'key', 'equivalent', 'educational']",[]
Clerical Associate Part Time,"['clerical', 'high', 'minimum', 'key', 'equivalent', 'educational']",[]
Clerical Associate for Administration (part time),"['clerical', 'high', 'minimum', 'key', 'equivalent', 'educational']",[]
"Clerical Associate,   Bureau of Food Safety and Community Sanitation","['clerical', 'high', 'minimum', 'key', 'equivalent', 'educational']",[]
"Clerical Associate, Bureau of Communicable Diseases","['clerical', 'high', 'minimum', 'key', 'equivalent', 'educational']",[]
"Clerical Associate, Level IV","['clerical', 'high', 'minimum', 'key', 'equivalent', 'educational']",[]
Clerical Associate- Appeals,"['clerical', 'high', 'minimum', 'key', 'equivalent', 'educational']",[]
Clerical Supervisor (ICSU),"['clerical', 'high', 'minimum', 'key', 'equivalent', 'educational']",[]
Clerical Supervisor (JD),"['clerical', 'high', 'minimum', 'key', 'equivalent', 'educational']",[]
Clerical Support for the Division of Code Enforcement (DCE),"['equivalent', 'high', 'related', 'english', 'environmental', 'epidemic']",[]
Clerical Support for the Emergency Operations Division,"['equivalent', 'high', 'related', 'english', 'environmental', 'epidemic']",[]
Clerical Support in the Housing Litigation Division (HLD),"['equivalent', 'high', 'related', 'english', 'environmental', 'epidemic']",[]
"Clerical Support, Bureau of Environmental Sciences and Engineering","['clerical', 'high', 'minimum', 'key', 'equivalent', 'educational']",[]
Clerk  - Brooklyn Central Service Unit (BCS),"['clerical', 'high', 'minimum', 'key', 'equivalent', 'educational']",[]
Clerk (part time),"['clerical', 'high', 'minimum', 'key', 'equivalent', 'educational']",[]
Client Services Manager - Central Operations,"['related', 'full', 'baccalaureate', 'equivalent', 'enrolled', 'enhancement']",[]
Client Services Manager - Field Operations,"['related', 'full', 'baccalaureate', 'equivalent', 'enrolled', 'enhancement']",[]
Climber & Pruner,"['tree', 'shrub', 'commercial', 'large', 'requirement', 'climber']",[]
Clinical Advisor,"['mental', 'full', 'educational', 'equivalent', 'high', 'disabled']",[]
Clinical Supervisor for the Division of Property Management & Client Services,"['related', 'equivalent', 'high', 'degree', 'environmental', 'english']",[]
Co-Response Coordinator,"['english', 'environmental', 'epidemic', 'epidemiologic', 'epidemiological', 'equal']",[]
CoQI Facilitator,"['child', 'social', 'early', 'human', 'subject', 'baccalaureate']",[]
Code and Zoning Specialist,"['managerial', 'degree', 'professional', 'administrative', 'full', 'economic']",['analysis']
Collections Attorney,"['legal', 'subsequent', 'comparable', 'related', 'united', 'incumbent']",[]
Collections Specialist,"['architectural', 'professional', 'degree', 'additional', 'electrical', 'full']",[]
College Aide,"['acceptable', 'employed', 'appointment', 'maximum', 'full', 'special']",['data']
College Aide (Various units),"['acceptable', 'employed', 'appointment', 'maximum', 'full', 'special']",['data']
College Aide - Civil Service Transactions,"['acceptable', 'employed', 'appointment', 'maximum', 'full', 'special']",['data']
College Aide - Fire and Life Safety Unit,"['acceptable', 'employed', 'appointment', 'maximum', 'full', 'special']",['data']
College Aide Desktop Support,"['acceptable', 'employed', 'appointment', 'maximum', 'full', 'special']",['data']
College Aide II Undergrad 01,"['acceptable', 'employed', 'appointment', 'maximum', 'full', 'special']",['data']
College Aide IT Operations Clerk,"['acceptable', 'employed', 'appointment', 'maximum', 'full', 'special']",['data']
"College Aide, COSH","['acceptable', 'employed', 'appointment', 'maximum', 'full', 'special']",['data']
"College Aide, City Planning","['acceptable', 'employed', 'appointment', 'maximum', 'full', 'special']",['data']
"College Aide, Law Enforcement Training Assistant","['acceptable', 'employed', 'appointment', 'maximum', 'full', 'special']",['data']
"College Aide, Leasing","['acceptable', 'employed', 'appointment', 'maximum', 'full', 'special']",['data']
College Summer Intern 2023,"['acceptable', 'employed', 'appointment', 'maximum', 'full', 'special']",['data']
Comm Prog Liaison Unit Cdtr,"['public', 'full', 'iii', 'additional', 'total', 'educational']",[]
Commissioner's Driver,"['related', 'equivalent', 'high', 'degree', 'environmental', 'english']",[]
Communication Liaison,"['related', 'equivalent', 'high', 'degree', 'environmental', 'english']",[]
Communications Assistant,"['related', 'equivalent', 'high', 'degree', 'environmental', 'english']",[]
Communications Coordinator,"['related', 'equivalent', 'high', 'degree', 'environmental', 'english']",[]
Communications Director,"['equivalent', 'economic', 'urban', 'managerial', 'administrative', 'appropriate']",[]
Community Affairs Liaison,"['related', 'equivalent', 'high', 'degree', 'environmental', 'english']",[]
Community Associate,"['equivalent', 'high', 'related', 'english', 'environmental', 'epidemic']",[]
Community Board Liaison,"['equivalent', 'high', 'related', 'english', 'environmental', 'epidemic']",[]
Community Coordinator,"['related', 'equivalent', 'high', 'degree', 'environmental', 'english']",[]
"Community Coordinator, Bureau of Environmental Disease and Injury Prevention","['related', 'equivalent', 'high', 'degree', 'environmental', 'english']",[]
Community Engagement Coordinator -Community Affairs Unit,"['equivalent', 'high', 'related', 'english', 'environmental', 'epidemic']",[]
"Community Intake and Referral Specialist, Bureau of Early Intervention","['understand', 'understood', 'simple', 'english', 'formal', 'able']",[]
Community Liaison,"['broad', 'administrative', 'equivalent', 'full', 'liaison', 'high']",[]
Community Planner,"['equivalent', 'full', 'urban', 'real', 'related', 'educational']",[]
Community Service Aide,"['formal', 'spanish', 'simple', 'understand', 'english', 'environmental']",[]
"Community Specialist for Capacity Building, Bureau of Brooklyn Neighborhood Health","['related', 'equivalent', 'high', 'degree', 'environmental', 'english']",[]
CommunityStat Analyst,"['appropriate', 'environmental', 'physical', 'biological', 'full', 'probationary']",[]
Complaint Specialist,"['related', 'equivalent', 'high', 'degree', 'environmental', 'english']",[]
Compliance Analyst,"['equivalent', 'related', 'baccalaureate', 'high', 'degree', 'governmental']",[]
Compliance Analyst for the Division of Asset Management,"['related', 'equivalent', 'high', 'degree', 'environmental', 'english']",[]
Compliance Integration Analyst,"['related', 'equivalent', 'high', 'degree', 'environmental', 'english']",[]
Compliance Officer,"['english', 'environmental', 'epidemic', 'epidemiologic', 'epidemiological', 'equal']",[]
Compliance Scientist Water Ecologist,"['environmental', 'full', 'baccalaureate', 'additional', 'requirement', 'iii']",['analysis']
Compliance Specialist,"['administrative', 'clerical', 'accredited', 'full', 'responsible', 'equivalent']",[]
Comptroller  Water Finance Authority,"['enhancement', 'english', 'environmental', 'epidemic', 'epidemiologic', 'epidemiological']",[]
Computer Aide,"['equivalent', 'mainframe', 'educational', 'past', 'technical', 'high']","['database', 'data']"
Computer Programmer Analyst,"['equivalent', 'high', 'educational', 'full', 'degree', 'graduate']",['programming']
Computer Specialist (Operations) - Network Services,"['equivalent', 'major', 'complex', 'full', 'high', 'educational']",['data']
Computer Tech Support,"['full', 'equivalent', 'degree', 'educational', 'high', 'undergraduate']",[]
Conference Facilitator,"['social', 'valid', 'clinical', 'probationary', 'obtained', 'substantial']",[]
Confidential Investigator,"['equivalent', 'full', 'high', 'operational', 'appointment', 'educational']",[]
Configuration Specialist,"['administrative', 'clerical', 'accredited', 'full', 'responsible', 'equivalent']",[]
Conservation Easement (CE) Program Supervisor,"['requirement', 'professional', 'individual', 'additional', 'urban', 'iv']",[]
Conservation Easement (CE) Steward,"['requirement', 'professional', 'individual', 'additional', 'urban', 'iv']",[]
Constituency Liaison- People with Disabilities,"['related', 'equivalent', 'high', 'degree', 'environmental', 'english']",[]
Construction Inspector,"['professional', 'eligible', 'individual', 'civil', 'additional', 'license']",[]
Construction Project Manager,"['license', 'full', 'additional', 'valid', 'equivalent', 'professional']",[]
Construction Safety & Quality Inspector,"['license', 'full', 'additional', 'valid', 'equivalent', 'professional']",[]
Construction Scheduler,"['full', 'environmental', 'license', 'civil', 'chemical', 'aeronautical']",[]
Content Coordinator & Developer,"['public', 'advertising', 'assignment', 'degree', 'full', 'baccalaureate']",[]
Contract Administrator,"['professional', 'economic', 'public', 'national', 'higher', 'organizational']",['analysis']
Contract Analyst,"['professional', 'economic', 'public', 'related', 'full', 'human']",['analysis']
Contract Analyst (Bureau of Asset Management),"['professional', 'financial', 'administrative', 'fiscal', 'accredited', 'equivalent']",[]
"Contract Analyst, Family and Child Health Administration","['professional', 'equivalent', 'full', 'iii', 'procurement', 'minimum']",[]
Contract Analyst- Specialized Contract Registration,"['professional', 'equivalent', 'full', 'iii', 'procurement', 'minimum']",[]
Contract Manager,"['professional', 'equivalent', 'full', 'high', 'minimum', 'requirement']",[]
"Contract Manager, Bureau of Hepatitis, HIV, and STI","['full', 'equivalent', 'administrative', 'technical', 'educational', 'high']",[]
Contract Officer,"['professional', 'economic', 'public', 'national', 'higher', 'organizational']",['analysis']
Contract Payment Specialist,"['clerical', 'high', 'minimum', 'key', 'equivalent', 'educational']",[]
Contract Specialist,"['full', 'degree', 'equivalent', 'particular', 'relevant', 'professional']",['data']
"Contract Specialist, Division Management & Systems Coordination","['professional', 'financial', 'administrative', 'fiscal', 'accredited', 'equivalent']",[]
Contract and Administration Unit Lead,"['professional', 'administrative', 'public', 'full', 'eighteen', 'managerial']",['analysis']
Contracting Officer,"['equivalent', 'technical', 'professional', 'full', 'high', 'administrative']",[]
Contracts Officer,"['professional', 'equivalent', 'administrative', 'full', 'managerial', 'eighteen']",[]
Contracts/Procurement Attorney,"['legal', 'subsequent', 'comparable', 'related', 'united', 'incumbent']",[]
Cook,"['correctional', 'educational', 'english', 'write', 'able', 'formal']",[]
Cook Helper,"['write', 'simple', 'english', 'requirement', 'enhancement', 'environmental']",[]
"Coordinator (City Birth Equity Task Force), Bureau of Maternal Infant and Reproductive Health","['related', 'equivalent', 'high', 'degree', 'environmental', 'english']",[]
Coordinator for the Division of Tenant Resources,"['related', 'equivalent', 'high', 'degree', 'environmental', 'english']",[]
Coordinator of Public Space Programming,"['related', 'equivalent', 'high', 'degree', 'environmental', 'english']",[]
Correctional Counselor II,"['equivalent', 'high', 'educational', 'informational', 'referral', 'similar']",[]
Correspondence Liaison,"['equivalent', 'high', 'related', 'english', 'environmental', 'epidemic']",[]
Corridor Planner,"['full', 'requirement', 'additional', 'study', 'urban', 'equivalent']",[]
Corridor Planner â Public Spaces,"['urban', 'accredited', 'full', 'advanced', 'english', 'environmental']",[]
Counsel's Office Summer College Intern,"['recent', 'interne', 'prospective', 'valid', 'enhancement', 'english']",[]
"Crew Chief,  Bureau of Veterinary and Pest Control Services.","['full', 'equivalent', 'professional', 'high', 'pest', 'individual']",[]
Crime Analyst - Crime Strategies Bureau,"['criminal', 'full', 'sociology', 'statistic', 'minimum', 'additional']","['analysis', 'data']"
Crime Analyst - Rikers Island Prosecution Bureau,"['criminal', 'full', 'sociology', 'statistic', 'minimum', 'additional']","['analysis', 'data']"
Crime Strategy Analyst,"['equivalent', 'high', 'related', 'english', 'environmental', 'epidemic']",[]
Criminalist IA,"['assignment', 'forensic', 'individual', 'additional', 'criminalist', 'total']",[]
Criminalist IB,"['assignment', 'forensic', 'individual', 'additional', 'criminalist', 'total']",[]
Criminalist II,"['assignment', 'forensic', 'individual', 'additional', 'criminalist', 'total']",[]
Criminalist III,"['assignment', 'forensic', 'individual', 'additional', 'criminalist', 'total']",[]
Criminalist IV,"['assignment', 'forensic', 'individual', 'additional', 'criminalist', 'total']",[]
"Criminalist, Level 1A & 1B","['assignment', 'forensic', 'individual', 'additional', 'criminalist', 'total']",[]
"Criminalist, level 1A & 1B","['assignment', 'forensic', 'individual', 'additional', 'criminalist', 'total']",[]
Crystal Reports Architect,"['related', 'full', 'equivalent', 'eligible', 'eleventh', 'environmental']",[]
Curriculum Development Specialist,"['professional', 'economic', 'public', 'national', 'higher', 'organizational']",['analysis']
Custodial Assistant (Part-Time),"['formal', 'medical', 'physical', 'educational', 'certain', 'enrolled']",[]
"Custodian Supervisor, Bureau of Operations","['full', 'iv', 'environmental', 'epidemic', 'epidemiological', 'equal']",[]
Custom Application Development Associate,"['major', 'complex', 'full', 'high', 'educational', 'sixty']","['database', 'data', 'analysis', 'programming', 'software']"
Customer Experience Specialist,"['clerical', 'high', 'minimum', 'key', 'equivalent', 'educational']",[]
Customer Service Case Navigator,"['administrative', 'clerical', 'accredited', 'full', 'responsible', 'equivalent']",[]
"Customer Service Liaison, Bureau of Food Safety and Community Sanitation","['administrative', 'clerical', 'accredited', 'full', 'responsible', 'equivalent']",[]
Customer Service Representative,"['clerical', 'high', 'minimum', 'key', 'equivalent', 'educational']",[]
Customer Service Supervisor,"['administrative', 'clerical', 'accredited', 'full', 'responsible', 'equivalent']",[]
Cyber Security Analyst,"['technical', 'equivalent', 'high', 'scientific', 'degree', 'sixty']",['programming']
Cyber Security Engineer,"['full', 'engagement', 'english', 'environmental', 'epidemic', 'epidemiologic']",[]
Cybersecurity Analyst/ Desktop Support,"['technical', 'equivalent', 'high', 'scientific', 'degree', 'sixty']",['programming']
Cybersecurity Incident Analyst,"['technical', 'equivalent', 'high', 'scientific', 'degree', 'sixty']",['programming']
D&C Personnel Assistant,"['clerical', 'high', 'minimum', 'key', 'equivalent', 'educational']",[]
DAT Writer: Early Case Assessment Bureau,"['equivalent', 'high', 'related', 'english', 'environmental', 'epidemic']",[]
"DATA  ANALYTICS MANAGER, RESIDENT HEALTH INITIATIVES","['public', 'full', 'special', 'individual', 'additional', 'statistic']",['analysis']
DATA ANALYTICS PROGRAM MANAGER,"['professional', 'full', 'specialized', 'urban', 'educational', 'high']",[]
DATA CENTER ASSOCIATE â SHIFT D,"['optic', 'electronic', 'cellular', 'physic', 'high', 'operational']",['analysis']
DATA CENTER COMPUTER ASSOCIATE,"['related', 'particular', 'major', 'trained', 'english', 'enhancement']",[]
DATA CENTER SHIFT C SUPERVISOR,"['full', 'accredited', 'high', 'large', 'educational', 'technical']",['data']
DATA CURATOR/SCIENTIST,"['appropriate', 'environmental', 'physical', 'biological', 'full', 'probationary']",[]
DATA REPORTING ANALYST,"['professional', 'public', 'economic', 'national', 'higher', 'fiscal']",['analysis']
DATA SECURITY SPECIALIST,"['major', 'complex', 'full', 'high', 'educational', 'sixty']","['database', 'data', 'analysis', 'programming', 'software']"
DECEDENT PROPERTY AGENT,"['equivalent', 'high', 'enforcement', 'personal', 'full', 'investigative']",[]
DEPUTY COMMISSIONER OF STRATEGIC PARTNERSHIPS,"['professional', 'economic', 'public', 'fiscal', 'administrative', 'supervisory']",['analysis']
DEPUTY DIRECTOR,"['equivalent', 'supervisory', 'managerial', 'eighteen', 'full', 'related']",[]
DEPUTY DIRECTOR OF BRONX  BOROUGH OFFICE,"['managerial', 'baccalaureate', 'non', 'equivalent', 'united', 'full']",[]
DEPUTY DIRECTOR OF COMMUNICATIONS,"['professional', 'administrative', 'public', 'supervisory', 'managerial', 'equivalent']",[]
DEPUTY DIRECTOR OF DESIGN & CONSTRUCTION,"['maximum', 'acceptable', 'full', 'responsible', 'eighteen', 'professional']",[]
DEPUTY DIRECTOR OF FISCAL,"['professional', 'economic', 'public', 'fiscal', 'administrative', 'supervisory']",['analysis']
"DEPUTY DIRECTOR, FHEP CENTRALIZED DETERMINATION UNIT (FDCU)","['equivalent', 'supervisory', 'eighteen', 'managerial', 'high', 'full']",[]
DEPUTY EXECUTIVE DIRECTOR,"['substantial', 'public', 'urban', 'administrative', 'equivalent', 'degree']",[]
DEPUTY HRBP,"['professional', 'public', 'economic', 'national', 'higher', 'fiscal']",['analysis']
DEPUTY HUMAN RESOURCES BUSINESS PARTNER,"['professional', 'public', 'economic', 'national', 'higher', 'fiscal']",['analysis']
DEPUTY HUMAN RESOURCES BUSINESS PARTNER (HRBP),"['professional', 'public', 'economic', 'national', 'higher', 'fiscal']",['analysis']
DESIGN ENGINEER,"['civil', 'acceptable', 'enhancement', 'english', 'environmental', 'epidemic']",[]
DESIGN LEAD,"['professional', 'mechanical', 'additional', 'current', 'national', 'last']",[]
DESIGN PROGRAM MANAGER,"['mechanical', 'valid', 'administrative', 'environmental', 'civil', 'chemical']",[]
DESIGN/CONSTRUCTION SUPPORT STAFF,"['civil', 'baccalaureate', 'full', 'equal', 'english', 'equivalent']",[]
DESKTOP SUPPORT TECHNICIAN,"['professional', 'full', 'specialized', 'urban', 'educational', 'high']",[]
DIRECTOR,"['administrative', 'supervisory', 'clerical', 'managerial', 'full', 'moderate']",[]
DIRECTOR FOR THE DIVISION OF LIENS AND RECOVERY (L&R),"['professional', 'economic', 'public', 'fiscal', 'administrative', 'supervisory']",['analysis']
DIRECTOR LAND USE REVIEW,"['managerial', 'baccalaureate', 'non', 'equivalent', 'united', 'full']",[]
DIRECTOR LEARNING & DEVELOPMENT,"['equivalent', 'human', 'public', 'statistic', 'personnel', 'graphic']","['analysis', 'database']"
DIRECTOR OF ACCOUNTABILITY SYSTEMS,"['eighteen', 'full', 'responsible', 'managerial', 'administrative', 'equivalent']","['database', 'data']"
DIRECTOR OF CONSTRUCTION CAREERS,"['professional', 'economic', 'public', 'fiscal', 'administrative', 'supervisory']",['analysis']
DIRECTOR OF CONTRACT SERVICES,"['managerial', 'professional', 'administrative', 'procurement', 'supervisory', 'full']",[]
DIRECTOR OF COUNTY DEMO,"['team', 'several', 'administrative', 'financial', 'full', 'managerial']",[]
DIRECTOR OF ENROLLMENT & EVENTS,"['broad', 'administrative', 'equivalent', 'full', 'high', 'educational']",[]
DIRECTOR OF GOVERNMENT GRANTS,"['appropriate', 'environmental', 'physical', 'biological', 'full', 'probationary']",[]
DIRECTOR OF GOVERNMENT RELATIONS,"['professional', 'administrative', 'public', 'supervisory', 'managerial', 'equivalent']",[]
DIRECTOR OF HOUSING COURT APPLICATION PROCESSING TEAM,"['equivalent', 'supervisory', 'eighteen', 'managerial', 'high', 'full']",[]
DIRECTOR OF INDUSTRIAL CAREERS,"['professional', 'economic', 'public', 'fiscal', 'administrative', 'supervisory']",['analysis']
DIRECTOR OF INTERNAL  AUDIT,"['public', 'internal', 'financial', 'valid', 'regional', 'professional']",[]
DIRECTOR OF POLICY AND LEGISLATIVE AFFAIRS,"['broad', 'legal', 'legislative', 'equivalent', 'subsequent', 'full']",[]
DIRECTOR OF PROGRAMS AND COMMUNITY PARTNERSHIPS-BROOKLYN,"['related', 'equivalent', 'high', 'degree', 'environmental', 'english']",[]
DIRECTOR OF PROGRAMS AND COMMUNITY PARTNERSHIPS-MANHATTAN,"['related', 'equivalent', 'high', 'degree', 'environmental', 'english']",[]
DIRECTOR OF RECONCILATION AND REPORTING,"['professional', 'economic', 'public', 'fiscal', 'administrative', 'supervisory']",['analysis']
"DIRECTOR OF SPECIAL INITIATIVES, SUPPORTIVE HOUSING","['administrative', 'degree', 'responsible', 'governmental', 'equivalent', 'large']",[]
DIRECTOR OF TALENT ACQUISITION STRATEGY,"['equivalent', 'human', 'public', 'statistic', 'personnel', 'graphic']","['analysis', 'database']"
DIRECTOR OF TECHNOLOGY DEVELOPMENT & INFORMATION SYSTEMS,"['related', 'full', 'complex', 'datacenter', 'equivalent', 'emotional']",['cloud']
DIRECTOR â BID SUPPORT AND OVERSIGHT,"['broad', 'administrative', 'equivalent', 'full', 'high', 'educational']",[]
"DIRECTOR, COMPLIANCE","['professional', 'economic', 'public', 'fiscal', 'administrative', 'supervisory']",['analysis']
"DIRECTOR, DHS AUDIT SERVICES","['team', 'several', 'administrative', 'financial', 'full', 'managerial']",[]
"DIRECTOR, HR RECORDS MANAGEMENT AND SUPPORT SERVICES","['professional', 'economic', 'public', 'fiscal', 'administrative', 'supervisory']",['analysis']
"DIRECTOR, HUMAN CAPITAL","['professional', 'administrative', 'public', 'supervisory', 'managerial', 'equivalent']",[]
